latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.98125,42.68125,1144.3348,0.040474363,0.00012407659,-1.5300293,4.8460693,134.22552,6.78233,35.74388,143.78674
43.98125,42.69375,1114.3746,0.058177058,-8.4069425e-06,0.6105957,3.1281738,119.48456,9.810708,37.505,165.50903
43.98125,42.70625,1056.0702,0.09343997,0.0012973946,-10.272827,-16.372437,79.66632,11.274972,44.519657,205.30042
43.98125,42.71875,1035.0835,0.054115128,-0.00046814236,5.665161,4.9467773,79.96796,13.619839,46.658333,216.56
43.98125,42.73125,972.65094,0.07543109,0.0021471789,-10.851746,-27.168518,40.671875,14.469796,44.08089,218.05438
43.98125,42.74375,1011.79755,0.07401818,-0.00050035864,6.946167,36.653076,108.184814,10.662434,42.81355,206.75403
43.98125,42.75625,980.92755,0.020107279,-0.00055891386,8.291382,50.86841,104.51239,8.968696,54.151985,278.22076
43.98125,42.76875,936.92664,0.059607197,-0.0011937036,16.809631,72.707886,76.76373,18.17622,63.480804,287.54633
43.98125,42.78125,835.0316,0.400915,-0.0003718131,-0.8828125,54.204346,-16.212036,29.090376,71.3924,277.30267
43.98125,42.79375,670.7744,0.022477185,0.0004677315,-4.7625732,-61.357178,-175.24286,10.717976,50.456665,195.17896
43.98125,42.80625,752.6666,0.19887167,5.9946913e-05,-15.204285,-15.220581,-92.573364,25.850533,61.205086,236.16266
43.98125,42.81875,798.6638,0.12630771,0.00089842983,-9.93396,-30.722168,-47.971313,12.710724,44.011364,206.79407
43.98125,42.83125,863.3998,0.06054995,-7.1701616e-05,3.1253662,13.013977,15.165649,12.203996,45.192642,189.22638
43.98125,42.84375,840.76746,0.09159094,-0.0008737524,1.6819458,-15.680298,-9.4729,12.888948,53.16425,206.67511
43.98125,42.85625,866.0151,0.049854614,-5.8146732e-05,0.9269409,3.630188,15.283325,9.727538,51.49211,191.4784
43.98125,42.86875,850.06494,0.056419123,-3.9105213e-05,0.31958008,-3.8613892,4.882141,10.419333,52.447,204.91266
43.98125,42.88125,817.57355,0.14749596,0.0007087088,-5.475769,-19.142029,-19.79126,16.662083,57.95796,218.42468
43.98125,42.89375,857.682,0.08219766,-0.0006750942,5.138611,30.959656,29.810791,13.74318,59.99323,209.28674
43.98125,42.90625,836.4962,0.047809403,-0.00048711407,5.048462,20.03601,21.480774,15.710267,54.6403,186.8587
43.98125,42.91875,804.39905,0.047399353,-0.00017154535,2.2544556,-1.579773,2.0906982,10.204165,35.43039,171.36456
43.98125,42.93125,796.10156,0.02606408,-0.00013541237,0.9766846,3.5978394,7.647705,7.7821913,23.107088,123.528015
43.98125,42.94375,774.9461,0.059761055,-0.0001862452,1.9338379,8.9852295,-0.71728516,10.776131,27.184555,114.284546
43.98125,42.95625,749.00055,0.050854314,-0.00010077307,1.0559692,7.4959106,-113.189026,7.976528,22.836374,112.39569
43.98125,42.96875,718.4213,0.0631532,5.7371704e-05,-0.27294922,-3.4006348,-296.19165,9.005207,22.082233,125.35101
43.98125,42.98125,682.6688,0.05526855,-0.0004180902,3.7162476,-24.978699,-484.2445,8.437268,23.712471,111.677185
43.98125,42.99375,649.2877,0.057610072,0.00060662546,-8.010315,-441.05408,-672.9944,8.534855,610.7062,1406.9661
43.96875,42.00625,1072.9585,0.06894755,0.0011049198,-12.682129,-2.1297607,18.372314,12.12951,47.66419,222.68927
43.96875,42.01875,1059.6802,0.12512557,0.0016432466,-11.406372,-5.6481934,11.254883,20.955309,56.970387,239.81415
43.96875,42.03125,1067.1064,0.062248904,-0.0009568298,8.959717,65.92633,18.010254,10.717976,66.61738,286.9829
43.96875,42.04375,899.21454,0.12988164,0.00225695,-18.40448,-84.142334,-148.88898,26.184443,61.373344,259.16455
43.96875,42.05625,1042.0629,0.09298362,-0.00021897166,1.2694092,29.01654,-5.506714,16.30184,65.57915,274.5747
43.96875,42.06875,1000.8588,0.14322232,0.00061729306,-8.588684,-40.84198,-48.136536,19.626194,57.915886,261.42883
